Load address: $F400 Init address: $F400 Play address: $F52B
Calling initroutine with subtune 0
Calling playroutine for 2650 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 021C  B-0 8B  41 0000 846 | 1368  D-4 B2  41 0940 83C | 20E0  B-4 BB  41 0000 000 | 0000 00 Off F |
|     1 | 020C (- 0010) .. .... 800 | 1350 (- 0018) .. .... 800 | 2E40 (F-5 C1) .. .... ... | .... .. ... . |
|     2 | ....  ... ..  .. .... 7BA | ....  ... ..  .. .... 7C4 | 022C (C-1 8C) .. .... ... | .... .. ... . |
|     3 | 021C (+ 0010) .. .... 774 | 1368 (+ 0018) .. .... 788 | ....  ... ..  .. .... ... | .... .. ... . |
|     4 | 022C (C-1 8C) .. .... 72E | 1380 (+ 0018) .. .... 74C | 1368 (D-4 B2) .. 0940 846 | .... .. ... . |
|     5 | 023C (+ 0010) .. .... 6E8 | 1398 (+ 0018) .. .... 710 | 1350 (- 0018) .. .... 800 | .... .. ... . |
|     6 | 024C (C#1 8D) .. .... 6A2 | 13B0 (+ 0018) .. .... 6D4 | ....  ... ..  .. .... 7BA | .... .. ... . |
|     7 | 023C (C-1 8C) .. .... 65C | 1398 (- 0018) .. .... 698 | 1368 (+ 0018) .. .... 774 | .... .. ... . |
|     8 | 022C (- 0010) .. .... 616 | 1380 (- 0018) .. .... 65C | 1380 (+ 0018) .. .... 72E | .... .. ... . |
|     9 | 021C (B-0 8B) .. .... 5D0 | 1368 (- 0018) .. .... 620 | 1398 (+ 0018) .. .... 6E8 | .... .. ... . |
|    10 | 020C (- 0010) .. .... 58A | 1350 (- 0018) .. .... 5E4 | 13B0 (+ 0018) .. .... 72E | .... .. ... . |
|    11 | ....  ... ..  .. .... 544 | ....  ... ..  .. .... 620 | 1398 (- 0018) .. .... 774 | .... .. ... . |
|    12 | 021C (+ 0010) .. .... 4FE | 1368 (+ 0018) .. .... 65C | 1380 (- 0018) .. .... 7BA | .... .. ... . |
|    13 | 022C (C-1 8C) .. .... 4B8 | 1380 (+ 0018) .. .... 698 | 1368 (- 0018) .. .... 800 | .... .. ... . |
|    14 | 023C (+ 0010) .. .... 472 | 1398 (+ 0018) .. .... 6D4 | 1350 (- 0018) .. .... 7BA | .... .. ... . |
|    15 | 024C (C#1 8D) .. .... 42C | 13B0 (+ 0018) .. .... 710 | ....  ... ..  .. .... 774 | .... .. ... . |
|    16 | 023C (C-1 8C) .. .... 3E6 | 1398 (- 0018) .. .... 74C | 1368 (+ 0018) .. .... 72E | .... .. ... . |
|    17 | 022C (- 0010) .. .... 3A0 | 1380 (- 0018) .. .... 788 | 1380 (+ 0018) .. .... 6E8 | .... .. ... . |
|    18 | 021C (B-0 8B) .. .... 35A | 1368 (- 0018) .. .... 7C4 | 1398 (+ 0018) .. .... 72E | .... .. ... . |
|    19 | 020C (- 0010) .. .... 314 | 1350 (- 0018) .. .... 800 | 13B0 (+ 0018) .. .... 774 | .... .. ... . |
|    20 | ....  ... ..  .. .... 2CE | ....  ... ..  .. .... 7C4 | 1398 (- 0018) .. .... 7BA | .... .. ... . |
|    21 | 021C (+ 0010) .. .... 314 | 1368 (+ 0018) .. .... 788 | 1380 (- 0018) .. .... 800 | .... .. ... . |
|    22 | 022C (C-1 8C) .. .... 35A | 1380 (+ 0018) .. .... 74C | 1368 (- 0018) .. .... 7BA | .... .. ... . |
|    23 | 023C (+ 0010) .. .... 3A0 | 1398 (+ 0018) .. .... 710 | 1350 (- 0018) .. .... 774 | .... .. ... . |
|    24 | 06A4 (G-2 9F) .. 2920 3E6 | 1A40 (G-4 B7) .. .... 6D4 | ....  ... ..  .. .... 72E | .... .. ... . |
|    25 | 0694 (- 0010) .. .... 42C | 1A70 (+ 0030) .. .... 698 | 1368 (+ 0018) .. .... 6E8 | .... .. ... . |
|    26 | 0684 (- 0010) .. .... 472 | 1A40 (- 0030) .. .... 65C | 1380 (+ 0018) .. .... 72E | .... .. ... . |
|    27 | 0674 (- 0010) .. .... 4B8 | 1A10 (- 0030) .. .... 620 | 1398 (+ 0018) .. .... 774 | .... .. ... . |
|    28 | 0664 (- 0010) .. .... 4FE | 19E0 (- 0030) .. .... 5E4 | 1A48 (G-4 B7) .. .... 7BA | .... .. ... . |
|    29 | ....  ... ..  .. .... 544 | 19B0 (- 0030) .. .... 620 | 1A80 (+ 0038) .. .... 800 | .... .. ... . |
|    30 | 0674 (+ 0010) .. .... 58A | ....  ... ..  .. .... 65C | 1A48 (- 0038) .. .... 7BA | .... .. ... . |
|    31 | 0684 (+ 0010) .. .... 5D0 | 19E0 (+ 0030) .. .... 698 | 1A10 (- 0038) .. .... 774 | .... .. ... . |
|    32 | 0694 (+ 0010) .. .... 616 | 1A10 (+ 0030) .. .... 6D4 | 19D8 (- 0038) .. .... 72E | .... .. ... . |
|    33 | 06A4 (+ 0010) .. .... 65C | 1A40 (+ 0030) .. .... 710 | 19A0 (- 0038) .. .... 6E8 | .... .. ... . |
|    34 | 0694 (- 0010) .. .... 6A2 | 1A70 (+ 0030) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|    35 | 0684 (- 0010) .. .... 6E8 | 1A40 (- 0030) .. .... 788 | 19D8 (+ 0038) .. .... 774 | .... .. ... . |
|    36 | 0674 (- 0010) .. .... 72E | 1A10 (- 0030) .. .... 7C4 | 1A10 (+ 0038) .. .... 7BA | .... .. ... . |
|    37 | 0664 (- 0010) .. .... 774 | 19E0 (- 0030) .. .... 800 | 1A48 (+ 0038) .. .... 800 | .... .. ... . |
|    38 | ....  ... ..  .. .... 7BA | 19B0 (- 0030) .. .... 7C4 | 1A80 (+ 0038) .. .... 7BA | .... .. ... . |
|    39 | 0674 (+ 0010) .. .... 800 | ....  ... ..  .. .... 788 | 1A48 (- 0038) .. .... 774 | .... .. ... . |
|    40 | 0684 (+ 0010) .. .... 7BA | 19E0 (+ 0030) .. .... 74C | 1A10 (- 0038) .. .... 72E | .... .. ... . |
|    41 | 0694 (+ 0010) .. .... 774 | 1A10 (+ 0030) .. .... 710 | 19D8 (- 0038) .. .... 6E8 | .... .. ... . |
|    42 | 06A4 (+ 0010) .. .... 72E | 1A40 (+ 0030) .. .... 6D4 | 19A0 (- 0038) .. .... 72E | .... .. ... . |
|    43 | 0694 (- 0010) .. .... 6E8 | 1A70 (+ 0030) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|    44 | 0684 (- 0010) .. .... 6A2 | 1A40 (- 0030) .. .... 65C | 19D8 (+ 0038) .. .... 7BA | .... .. ... . |
|    45 | 0674 (- 0010) .. .... 65C | 1A10 (- 0030) .. .... 620 | 1A10 (+ 0038) .. .... 800 | .... .. ... . |
|    46 | 0664 (- 0010) .. .... 616 | 19E0 (- 0030) .. .... 5E4 | 1A48 (+ 0038) .. .... 7BA | .... .. ... . |
|    47 | ....  ... ..  .. .... 5D0 | 19B0 (- 0030) .. .... 620 | 1A80 (+ 0038) .. .... 774 | .... .. ... . |
|    48 | 0614 (F#2 9E) .. .... 58A | ....  ... ..  .. .... 65C | 1A48 (- 0038) .. .... 72E | .... .. ... . |
|    49 | 0624 (+ 0010) .. .... 544 | 19E0 (+ 0030) .. .... 698 | 1A10 (- 0038) .. .... 6E8 | .... .. ... . |
|    50 | 0634 (+ 0010) .. .... 4FE | 1A10 (+ 0030) .. .... 6D4 | 19D8 (- 0038) .. .... 72E | .... .. ... . |
|    51 | 0644 (+ 0010) .. .... 4B8 | 1A40 (+ 0030) .. .... 710 | 19A0 (- 0038) .. .... 774 | .... .. ... . |
|    52 | 0634 (- 0010) .. .... 472 | 1A70 (+ 0030) .. .... 74C | ....  ... ..  .. .... 7BA | .... .. ... . |
|    53 | 0624 (- 0010) .. .... 42C | 1A40 (- 0030) .. .... 788 | 19D8 (+ 0038) .. .... 800 | .... .. ... . |
|    54 | 0614 (- 0010) .. .... 3E6 | 1A10 (- 0030) .. .... 7C4 | 1A10 (+ 0038) .. .... 7BA | .... .. ... . |
|    55 | 0604 (- 0010) .. .... 3A0 | 19E0 (- 0030) .. .... 800 | 1A48 (+ 0038) .. .... 774 | .... .. ... . |
|    56 | ....  ... ..  .. .... 35A | 19B0 (- 0030) .. .... 7C4 | 1A80 (+ 0038) .. .... 72E | .... .. ... . |
|    57 | 0614 (+ 0010) .. .... 314 | ....  ... ..  .. .... 788 | 1A48 (- 0038) .. .... 6E8 | .... .. ... . |
|    58 | 0624 (+ 0010) .. .... 2CE | 19E0 (+ 0030) .. .... 74C | 1A10 (- 0038) .. .... 72E | .... .. ... . |
|    59 | 0634 (+ 0010) .. .... 314 | 1A10 (+ 0030) .. .... 710 | 19D8 (- 0038) .. .... 774 | .... .. ... . |
